module_id	module_label	model	n_observations	n_patients	term	estimate	std_error	p_value	model_status	q_value_BH_global
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	-0.2760913735137785	0.18366906496900856	0.13278742834745857	fit_ok	0.8705194817897756
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	-0.13309825238382555	0.1815482469275029	0.46347986272315256	fit_ok	0.8705194817897756
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	-0.2696945169259086	0.21859101864289662	0.2172826944224343	fit_ok	0.8705194817897756
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	-0.3027247024995715	0.20418651746097488	0.13818361833661338	fit_ok	0.8705194817897756
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	-0.15302915253730726	0.16902124195052645	0.36526191263751995	fit_ok	0.8705194817897756
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	-0.024903851840455453	0.1619545041492722	0.8777905644524164	fit_ok	0.9868234744946474
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	-0.11032826094331248	0.1505784555333932	0.4637437471432312	fit_ok	0.8705194817897756
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	-0.16479899288115313	0.17206393755091343	0.3381748941492194	fit_ok	0.8705194817897756
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	-0.1074783567368798	0.1964948398605846	0.584393838832773	fit_ok	0.899817464367607
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	-0.24570769466891831	0.16431602111109223	0.13482672194574602	fit_ok	0.8705194817897756
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	0.13653062642369518	0.1811555945673936	0.451050419007231	fit_ok	0.8705194817897756
