module_id	module_label	visit_week	baseline_bmi_group	n	mean_module_score	sd_module_score	median_module_score
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	0	BMI_ge_18_5	17	0.3580604044951312	0.5164943267910682	0.34358961853437303
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	0	BMI_lt_18_5	13	0.5605909541348537	0.5721038364815106	0.5851537388201424
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	8	BMI_ge_18_5	17	-0.07433511954701381	0.3240375913888951	0.05649862686272799
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	8	BMI_lt_18_5	13	-0.024833722444598617	0.41882586859034815	0.02035954366315922
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	17	BMI_ge_18_5	17	-0.16008910472866655	0.3189113641134866	-0.15359570708353135
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	17	BMI_lt_18_5	13	-0.0906568074727693	0.43715009125086907	-0.15519426620328766
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	26	BMI_ge_18_5	17	-0.07943233388203963	0.24641726014303122	-0.04067077014483237
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	26	BMI_lt_18_5	13	-0.1465963011682256	0.3485458357028103	-0.10045777518021173
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	52	BMI_ge_18_5	17	-0.11087356470008539	0.33093620303471044	-0.15540520847718362
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	52	BMI_lt_18_5	13	-0.21106771755993398	0.4208912990583419	-0.2058382548266609
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	0	BMI_ge_18_5	17	-0.22104799224946253	0.5963260650829151	-0.33528438634512225
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	0	BMI_lt_18_5	13	-0.35725541288858503	0.4852450011094002	-0.30401842796629963
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	8	BMI_ge_18_5	17	-0.008997963756585544	0.4175737170036362	0.028720265564833543
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	8	BMI_lt_18_5	13	-0.390913079064626	0.37698456332909164	-0.3668927228251091
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	17	BMI_ge_18_5	17	0.14512326876867054	0.444410323529782	0.1537361104551068
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	17	BMI_lt_18_5	13	-0.10141241281376419	0.30681943619066776	-0.14945278150665592
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	26	BMI_ge_18_5	17	0.24479899399733865	0.49199536272935235	0.19743491942215408
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	26	BMI_lt_18_5	13	-0.056207419522936876	0.3027058175934136	-0.02208949634505188
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	52	BMI_ge_18_5	17	0.405934961086369	0.3660833255524416	0.3181095846215204
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	52	BMI_lt_18_5	13	0.162249183710367	0.38478049709778994	0.09601111952361849
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	0	BMI_ge_18_5	17	-0.6783801968589668	0.7155568989451861	-0.9395326860946589
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	0	BMI_lt_18_5	13	-0.8323600307595562	0.43335257016826106	-0.9527483272488367
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	8	BMI_ge_18_5	17	-0.06749426767111565	0.7539555095231295	-0.05310804381488575
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	8	BMI_lt_18_5	13	-0.43444247763980426	0.6384884398082461	-0.5138368695343773
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	17	BMI_ge_18_5	17	0.2801593538270169	0.7779890123020599	0.18623284069938387
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	17	BMI_lt_18_5	13	-0.142691509810848	0.6498244174360672	-0.1309446382633987
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	26	BMI_ge_18_5	17	0.45579648089912406	0.8446057211653837	0.5293024619438896
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	26	BMI_lt_18_5	13	0.21380697340258392	0.801124893875744	0.18627397874765392
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	52	BMI_ge_18_5	17	0.5759269142885295	0.6677001951815295	0.4793560183410987
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	52	BMI_lt_18_5	13	0.45552236509700755	0.6838521905168766	0.5659583334227702
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	0	BMI_ge_18_5	17	-0.5347075278421556	0.5235424012330678	-0.4705880428063289
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	0	BMI_lt_18_5	13	-0.6252664071414427	0.45991009655973103	-0.7160760708519245
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	8	BMI_ge_18_5	17	-0.09081187607132774	0.4339205218728386	-0.1072764092010405
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	8	BMI_lt_18_5	13	-0.3308348769766568	0.4109539641753473	-0.22211739374022937
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	17	BMI_ge_18_5	17	0.17845523921425704	0.3750916702192769	0.13768421804600506
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	17	BMI_lt_18_5	13	-0.03144515989027191	0.39315296200033584	-0.0872491871831263
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	26	BMI_ge_18_5	17	0.29516131891055714	0.46531696820879803	0.3489708152319755
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	26	BMI_lt_18_5	13	0.18364051995038674	0.4665292749447858	0.06054141485234191
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	52	BMI_ge_18_5	17	0.4382980289877074	0.25742300337234447	0.4111535306447345
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	52	BMI_lt_18_5	13	0.42938914602847833	0.5576304683282822	0.3172420855572299
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	0	BMI_ge_18_5	17	-0.054851320070907914	0.531010301599832	-0.13244049180231823
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	0	BMI_lt_18_5	13	-0.05612788795458999	0.5199181242010427	-0.17176994656186953
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	8	BMI_ge_18_5	17	-0.09020124525505832	0.45919378727756166	-0.07017160980205857
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	8	BMI_lt_18_5	13	-0.06658443037066604	0.42418338769889086	-0.07473651003060536
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	17	BMI_ge_18_5	17	0.017928501458864297	0.3559853473649469	-0.03407329829078021
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	17	BMI_lt_18_5	13	0.061820832838401944	0.4274796801762166	0.09924278230907312
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	26	BMI_ge_18_5	17	0.03180072219576652	0.45233969617509995	0.19912632696979257
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	26	BMI_lt_18_5	13	0.005837753179090784	0.41667369775677215	-0.08536327788552962
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	52	BMI_ge_18_5	17	0.12055499433834026	0.32742170935390774	0.1576591736620626
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	52	BMI_lt_18_5	13	0.022058494204741604	0.40565610175125694	0.06291503729610488
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	0	BMI_ge_18_5	17	-0.4118742664607674	0.5303422794106721	-0.5059835316172744
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	0	BMI_lt_18_5	13	-0.24741187507400295	0.6581928256367641	-0.26972722449008046
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	8	BMI_ge_18_5	17	-0.14373718389153325	0.45595478980486837	-0.05487835796406277
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	8	BMI_lt_18_5	13	0.03594587811475085	0.5376974571235569	-0.1531847307156138
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	17	BMI_ge_18_5	17	0.07286954012845479	0.5253713794695858	0.17617515742054438
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	17	BMI_lt_18_5	13	0.23437434076955185	0.41045220092354684	0.16627685835278472
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	26	BMI_ge_18_5	17	0.07921661579743085	0.4510501994685693	0.2528268825259501
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	26	BMI_lt_18_5	13	0.1577076617984522	0.525335032037193	0.0873596424413739
