module_id	module_label	visit_week	n_BMI_lt_18_5	n_BMI_ge_18_5	mean_delta_BMI_lt_18_5	mean_delta_BMI_ge_18_5	delta_difference_lt_minus_ge	abs_delta_difference	welch_p	welch_q_BH_global
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	8	13	17	-0.1799383599070342	0.2125619590099342	-0.3925003189169684	0.3925003189169684	0.1575766312646647	0.9957490519929996
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	8	13	17	-0.0311057545055046	0.2004811098584178	-0.2315868643639225	0.2315868643639225	0.1524810243828062	0.9957490519929996
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	8	13	17	0.1052890925611864	0.2739586977753961	-0.1686696052142096	0.1686696052142096	0.2469096860801255	0.9957490519929996
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	8	13	17	-0.071452159003656	0.0616255569040885	-0.1330777159077446	0.1330777159077446	0.2569296325549465	0.9957490519929996
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	8	13	17	0.1669277839493516	0.2908340238993322	-0.1239062399499806	0.1239062399499806	0.3006615279753708	0.9957490519929996
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	8	13	17	-0.5246776676435936	-0.4098999042174753	-0.1147777634261182	0.1147777634261182	0.570216597584619	0.9957490519929996
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	8	13	17	-0.2138060494386769	-0.2733308693682634	0.0595248199295864	0.0595248199295864	0.7274408011767781	0.9957490519929996
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	8	13	17	0.2387659103625302	0.2874303298865119	-0.0486644195239817	0.0486644195239817	0.7808599116378351	0.9957490519929996
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	8	13	17	-0.0248251059630631	-0.0582057136927246	0.0333806077296615	0.0333806077296615	0.6780486045817271	0.9957490519929996
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	8	13	17	-0.0214211304327224	-0.0481449985407943	0.0267238681080719	0.0267238681080719	0.8095021543273713	0.9957490519929996
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	8	13	17	-0.0626204034489138	-0.0854747405888357	0.0228543371399219	0.0228543371399219	0.7926967553104549	0.9957490519929996
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	8	13	17	0.1996365924985333	0.1891363852043484	0.0105002072941848	0.0105002072941848	0.9486899200056242	0.9957490519929996
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	8	13	17	-0.1367746311271149	-0.1460362246498336	0.0092615935227186	0.0092615935227186	0.9453481602760776	0.9957490519929996
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	17	13	17	0.0621562328543756	0.2566117822661204	-0.1944555494117447	0.1944555494117447	0.4434395143086748	0.9957490519929996
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	17	13	17	0.2849745899114596	0.4281700668288286	-0.1431954769173689	0.1431954769173689	0.2391477230151967	0.9957490519929996
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	17	13	17	0.2273110281471015	0.3397856248002317	-0.1124745966531301	0.1124745966531301	0.4366572838011103	0.9957490519929996
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	17	13	17	0.3190593544461241	0.425885118507429	-0.1068257640613048	0.1068257640613048	0.4045024720409358	0.9957490519929996
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	17	13	17	0.0185308391556008	-0.0881527912248547	0.1066836303804556	0.1066836303804556	0.3454493754360604	0.9957490519929996
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	17	13	17	-0.5322832848704309	-0.4295861804853541	-0.1026971043850767	0.1026971043850767	0.6187785341617893	0.9957490519929996
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	17	13	17	-0.3921614229228825	-0.3052687581887983	-0.0868926647340841	0.0868926647340841	0.780411479375117	0.9957490519929996
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	17	13	17	0.014883913442632	0.0808475489336904	-0.0659636354910584	0.0659636354910584	0.4962850665157685	0.9957490519929996
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	17	13	17	0.4379294184711628	0.50099698495629	-0.0630675664851271	0.0630675664851271	0.7380903285818678	0.9957490519929996
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	17	13	17	0.3735659784198971	0.3455086219465227	0.0280573564733743	0.0280573564733743	0.856386568501107	0.9957490519929996
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	17	13	17	-0.1293229258645194	-0.1034821410974239	-0.0258407847670955	0.0258407847670955	0.7947478158875995	0.9957490519929996
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	17	13	17	-0.0686412194318855	-0.080666388437846	0.0120251690059605	0.0120251690059605	0.9031709089620492	0.9957490519929996
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	17	13	17	-0.3256374777095076	-0.3152691244513476	-0.0103683532581599	0.0103683532581599	0.959227291447801	0.9957490519929996
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	26	13	17	-0.6014670933348005	-0.2729693386120125	-0.328497754722788	0.328497754722788	0.1914207476742472	0.9957490519929996
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	26	13	17	0.2593230889029957	0.4835468389090739	-0.2242237500060781	0.2242237500060781	0.4915913527668606	0.9957490519929996
