module_id	module_label	visit_week	baseline_bmi_group	n	mean_delta_from_week0	sd_delta_from_week0	one_sample_t_p_vs_zero	one_sample_t_q_BH_global
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	8	BMI_ge_18_5	17	-0.4098999042174753	0.552993189228071	0.0075402895179213	0.0264328254243979
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	8	BMI_ge_18_5	17	-0.2733308693682634	0.4702109311801851	0.0291076511911403	0.0617795045689509
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	8	BMI_ge_18_5	17	-0.1460362246498336	0.3838876717172735	0.1363302323279616	0.1915992454338919
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	8	BMI_ge_18_5	17	-0.0854747405888357	0.2840560794628942	0.2326106865865914	0.2914639928313916
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	8	BMI_ge_18_5	17	-0.0582057136927246	0.1863806178434043	0.2161903273518535	0.2775777042542316
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	8	BMI_ge_18_5	17	-0.0481449985407943	0.3148215727357583	0.5372455510769725	0.5820160136667202
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	8	BMI_ge_18_5	17	0.0616255569040885	0.3924093246621565	0.5264848047917816	0.5763623126141609
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	8	BMI_ge_18_5	17	0.1891363852043484	0.5108517277413056	0.1464029222224204	0.2003408409359437
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	8	BMI_ge_18_5	17	0.2004811098584178	0.4568557735487464	0.0892251682053019	0.1449908983336156
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	8	BMI_ge_18_5	17	0.2125619590099342	0.9355367253536824	0.3627850388252361	0.4056950971809093
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	8	BMI_ge_18_5	17	0.2739586977753961	0.4544109536867853	0.0243613267715689	0.0539059145583653
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	8	BMI_ge_18_5	17	0.2874303298865119	0.5317493496433521	0.0405228484767687	0.0780440044737768
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	8	BMI_ge_18_5	17	0.2908340238993322	0.4246852840517623	0.0122308430337858	0.0318001918878431
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	8	BMI_lt_18_5	13	-0.5246776676435936	0.5332151931839502	0.0040126887183589	0.0167139629565698
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	8	BMI_lt_18_5	13	-0.2138060494386769	0.4496373725756414	0.1121288245412404	0.1642450387646338
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	8	BMI_lt_18_5	13	-0.1799383599070342	0.5258262544585475	0.2408882244036657	0.2982425635473956
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	8	BMI_lt_18_5	13	-0.1367746311271149	0.3467846011116685	0.180477562313822	0.2406367497517627
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	8	BMI_lt_18_5	13	-0.071452159003656	0.2318519604652062	0.2882676315997236	0.3331092631819028
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	8	BMI_lt_18_5	13	-0.0626204034489138	0.1863096319178464	0.2488886317143057	0.304522561156327
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	8	BMI_lt_18_5	13	-0.0311057545055046	0.4028061303053798	0.7854218215090468	0.8221858819840863
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	8	BMI_lt_18_5	13	-0.0248251059630631	0.2351953408699703	0.7101738221661071	0.7536538520946444
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	8	BMI_lt_18_5	13	-0.0214211304327224	0.2843949430906059	0.7905633480616214	0.8221858819840863
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	8	BMI_lt_18_5	13	0.1052890925611864	0.3263598209086008	0.2673531812346912	0.3159628505500897
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	8	BMI_lt_18_5	13	0.1669277839493516	0.2010956683423857	0.0112129100723371	0.0311298086400617
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	8	BMI_lt_18_5	13	0.1996365924985333	0.374685750360811	0.0787932308599851	0.1300713652291818
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	8	BMI_lt_18_5	13	0.2387659103625302	0.4170975176234662	0.0613372771290664	0.1092938682923748
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	17	BMI_ge_18_5	17	-0.4295861804853541	0.6212952435587608	0.0115602515509004	0.0311298086400617
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	17	BMI_ge_18_5	17	-0.3152691244513476	0.2788341179040869	0.0002604409235131	0.0054171712090738
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	17	BMI_ge_18_5	17	-0.3052687581887983	0.263607767887288	0.0002067144108379	0.0053745746817871
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	17	BMI_ge_18_5	17	-0.1034821410974239	0.2695454989588184	0.1330045475779613	0.1894859307959996
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	17	BMI_ge_18_5	17	-0.0881527912248547	0.3101087886312759	0.2583336828065358	0.3101784296076001
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	17	BMI_ge_18_5	17	-0.080666388437846	0.2140400178009636	0.139764378277314	0.1938066045445422
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	17	BMI_ge_18_5	17	0.0808475489336904	0.2445220698303019	0.1916829542011064	0.2523421169229756
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	17	BMI_ge_18_5	17	0.2566117822661204	0.9414245538492017	0.2776486273018901	0.3244433397685008
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	17	BMI_ge_18_5	17	0.3397856248002317	0.3855680577359638	0.0022351583297673	0.0137053927289297
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	17	BMI_ge_18_5	17	0.3455086219465227	0.4712081196180827	0.008078259839135	0.0264328254243979
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	17	BMI_ge_18_5	17	0.425885118507429	0.3660890373096619	0.0001977073060104	0.0053745746817871
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	17	BMI_ge_18_5	17	0.4281700668288286	0.3622333414937943	0.000169010262377	0.0053745746817871
