axis_family	matrix_feature	n_source_modules	source_modules	shared_between_selected_modules
three_module_core	AFAM_HUMAN	1	legacy__m03b_curated_nutrition_carrier_broad	False
three_module_core	ALBU_HUMAN	2	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad	True
three_module_core	APOA1_HUMAN	3	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad;legacy__m02_curated_lipid_apolipoprotein_transport	True
three_module_core	APOA2_HUMAN	3	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad;legacy__m02_curated_lipid_apolipoprotein_transport	True
three_module_core	APOA4_HUMAN	2	legacy__m03b_curated_nutrition_carrier_broad;legacy__m02_curated_lipid_apolipoprotein_transport	True
three_module_core	APOA5_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOB_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOC1_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOC2_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOC3_HUMAN	2	legacy__m13_curated_endocrine_immunometabolic;legacy__m02_curated_lipid_apolipoprotein_transport	True
three_module_core	APOC4_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOD_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOE_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOF_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOH_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOL1_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	APOM_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	CETP_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	CLUS_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	IBP3_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	IBP4_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	IBP5_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	IBP6_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	IGF1_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	IGF2_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	LCAT_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	LEPR_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	LEP_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	PLTP_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	PON1_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	PON3_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
three_module_core	RET4_HUMAN	2	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad	True
three_module_core	SHBG_HUMAN	1	legacy__m13_curated_endocrine_immunometabolic	False
three_module_core	TRFE_HUMAN	1	legacy__m03b_curated_nutrition_carrier_broad	False
three_module_core	TTHY_HUMAN	2	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad	True
three_module_core	VTDB_HUMAN	1	legacy__m03b_curated_nutrition_carrier_broad	False
core_plus_redox_extension	AFAM_HUMAN	1	legacy__m03b_curated_nutrition_carrier_broad	False
core_plus_redox_extension	ALBU_HUMAN	2	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad	True
core_plus_redox_extension	AOC3_HUMAN	1	vitamin_c_redox_collagen_ecm_repair	False
core_plus_redox_extension	APOA1_HUMAN	3	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad;legacy__m02_curated_lipid_apolipoprotein_transport	True
core_plus_redox_extension	APOA2_HUMAN	3	legacy__m13_curated_endocrine_immunometabolic;legacy__m03b_curated_nutrition_carrier_broad;legacy__m02_curated_lipid_apolipoprotein_transport	True
core_plus_redox_extension	APOA4_HUMAN	2	legacy__m03b_curated_nutrition_carrier_broad;legacy__m02_curated_lipid_apolipoprotein_transport	True
core_plus_redox_extension	APOA5_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOB_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOC1_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOC2_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOC3_HUMAN	2	legacy__m13_curated_endocrine_immunometabolic;legacy__m02_curated_lipid_apolipoprotein_transport	True
core_plus_redox_extension	APOC4_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOD_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOE_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOF_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOH_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOL1_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	APOM_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
core_plus_redox_extension	CETP_HUMAN	1	legacy__m02_curated_lipid_apolipoprotein_transport	False
