axis	bmi_group	baseline_timepoint	post_timepoint	n	mean_delta	sd_delta	paired_effect_size	t_statistic	p_value	fdr_bh
existing_four_module_candidate_pc1	BMI<18.5	0	8	13	0.618830562873004	1.2761849449074247	0.48490664722415633	1.7483557803800236	0.1059131341870293	0.1059131341870293
existing_four_module_candidate_pc1	BMI<18.5	0	17	13	1.5237839498738832	1.3009451112763148	1.1712899619407835	4.223146016213759	0.001182283715756436	0.0016596445965565388
existing_four_module_candidate_pc1	BMI<18.5	0	26	13	1.913969182244077	1.3417467035809147	1.4264757849868301	5.1432315859777615	0.00024369858172313641	0.0004332419230633536
existing_four_module_candidate_pc1	BMI<18.5	0	52	13	2.642958285984183	1.7699470093980025	1.493241476694328	5.3839587108709654	0.00016429729314414274	0.0003285945862882855
existing_four_module_candidate_pc1	BMI>=18.5	0	8	17	1.2029525067304065	1.6650561002960353	0.7224696552365593	2.978818699843909	0.008862369467428285	0.010503548998433523
existing_four_module_candidate_pc1	BMI>=18.5	0	17	17	2.0181504549630245	1.2503777857843665	1.61403255712595	6.654826716216062	5.532225221451979e-06	4.7258632110564176e-05
existing_four_module_candidate_pc1	BMI>=18.5	0	26	17	2.2918839973564737	1.62013660213665	1.4146239238925395	5.8326438587346585	2.546115875946001e-05	9.052856447808004e-05
existing_four_module_candidate_pc1	BMI>=18.5	0	52	17	2.746855152242096	1.6890738660149074	1.6262492763107217	6.705197539813385	5.053448251239152e-06	4.7258632110564176e-05
three_module_core_score_pc1	BMI<18.5	0	8	13	0.5926830527350266	1.2053749888229661	0.4917001416412119	1.7728500728402956	0.10161414087911243	0.1059131341870293
three_module_core_score_pc1	BMI<18.5	0	17	13	1.4437814165819733	1.2602782333849483	1.145605294399284	4.130538630399638	0.0013941659251536917	0.0018588879002049221
three_module_core_score_pc1	BMI<18.5	0	26	13	1.8648976595992326	1.3171541984530117	1.415853710818021	5.104933152910339	0.00025966774669467554	0.0004373351523278746
three_module_core_score_pc1	BMI<18.5	0	52	13	2.5347215288258513	1.7650602809120766	1.436053802942107	5.177765620832827	0.00023018312282512205	0.0004332419230633536
three_module_core_score_pc1	BMI>=18.5	0	8	17	1.1789239381887835	1.5915229726070723	0.7407520711168808	3.0541990316099445	0.0075719854123736975	0.009319366661383012
three_module_core_score_pc1	BMI>=18.5	0	17	17	1.9529157556323018	1.1945525406023974	1.6348512846889696	6.74066452894935	4.742397897590917e-06	4.7258632110564176e-05
three_module_core_score_pc1	BMI>=18.5	0	26	17	2.2071128790161874	1.5777057834080375	1.3989381938174517	5.767969936820143	2.8821478746169235e-05	9.222873198774155e-05
three_module_core_score_pc1	BMI>=18.5	0	52	17	2.6434508925602356	1.6484882245131047	1.6035606765350123	6.611650046440771	5.980221830901205e-06	4.7258632110564176e-05
three_module_core_unique_protein_pc1	BMI<18.5	0	8	13	1.0473929343416029	2.1400647357534224	0.48942114546495813	1.7646330352702266	0.10303855090231649	0.1059131341870293
three_module_core_unique_protein_pc1	BMI<18.5	0	17	13	2.653829042547973	2.2684292832186452	1.1698971892932404	4.218124303017979	0.0011928695537750122	0.0016596445965565388
three_module_core_unique_protein_pc1	BMI<18.5	0	26	13	3.220169709418693	2.3603485928681267	1.364277174629436	4.91897130707157	0.000354418411056547	0.0005670694576904752
three_module_core_unique_protein_pc1	BMI<18.5	0	52	13	4.275142660091308	2.698548611817639	1.5842377792897107	5.712050545756254	9.726680137257827e-05	0.00020750250959483365
three_module_core_unique_protein_pc1	BMI>=18.5	0	8	17	1.915256015087668	2.7913075827914975	0.6861501136224771	2.8290693934950326	0.012093276013729351	0.013820886872833544
three_module_core_unique_protein_pc1	BMI>=18.5	0	17	17	3.328338675124128	2.1456579360398833	1.551197243148202	6.395750079666957	8.860993520730783e-06	4.7258632110564176e-05
three_module_core_unique_protein_pc1	BMI>=18.5	0	26	17	3.752655877961605	2.7773010605930426	1.351188004501137	5.57109086262574	4.217799212159675e-05	0.00011103649819392681
three_module_core_unique_protein_pc1	BMI>=18.5	0	52	17	4.443732934291795	3.022100438661482	1.470412060910844	6.062664240317559	1.6457767641799663e-05	6.583107056719865e-05
core_plus_redox_unique_protein_pc1	BMI<18.5	0	8	13	1.574101463900154	2.332273375447548	0.6749215081178441	2.4334641044323724	0.03153229354433094	0.034794254945468624
core_plus_redox_unique_protein_pc1	BMI<18.5	0	17	13	3.4784326241559946	2.6877045336370333	1.2942020153714362	4.666311727230548	0.0005449374672070816	0.0008303809024107911
core_plus_redox_unique_protein_pc1	BMI<18.5	0	26	13	3.9746824177037547	2.283542465052243	1.7405774048580356	6.2757410821296915	4.093467154992552e-05	0.00011103649819392681
core_plus_redox_unique_protein_pc1	BMI<18.5	0	52	13	4.881147326928494	2.836577583456412	1.72078752768706	6.204387665254603	4.5563242839357026e-05	0.00011103649819392681
core_plus_redox_unique_protein_pc1	BMI>=18.5	0	8	17	2.3390144727689868	3.0808647179600683	0.7592071340015596	3.1302912052108915	0.006456687894404164	0.008264560504837329
core_plus_redox_unique_protein_pc1	BMI>=18.5	0	17	17	3.9896020128732737	2.551996242121969	1.563325974789032	6.445758121326871	8.085032911826958e-06	4.7258632110564176e-05
core_plus_redox_unique_protein_pc1	BMI>=18.5	0	26	17	4.229023378140408	3.171061377568422	1.3336302501288175	5.498698386800015	4.857846795984298e-05	0.00011103649819392681
core_plus_redox_unique_protein_pc1	BMI>=18.5	0	52	17	4.992388937526571	3.344431191553272	1.492746793575959	6.154752702215761	1.384756674467214e-05	6.330316226135836e-05
